stages,scens,duality_handler,backward_pass,total_time_mean,backward_pass_time_mean,iterations_mean,gap_mean,eprop_mean,iprop_mean
10,10,Lagrangian,Default,736.3648997942606,714.0754444444443,64.77777777777777,0.940063107705332,1.0,0.0
10,10,Lagrangian,Angulo,931.7781830363804,896.9177777777778,105.44444444444444,1.005236141902898,0.4074380285031372,0.0
10,10,Laporte,Default,3607.644716315799,3056.036777777778,621.4444444444445,85.49783743671634,1.0,0.0
10,10,Laporte,Angulo,302.6655092769199,239.02955555555556,85.66666666666667,1.9920375282838174,0.22088262896138397,0.0
10,10,Benders,Default,39.37171991666158,14.146555555555558,78.11111111111111,2.095779641029432,0.0,0.0
10,10,Lagrangian,Comparison,816.9499912526873,795.03,65.0,0.9400469782459417,1.0,1.0
10,20,Lagrangian,Default,935.8391546938154,919.0516666666665,42.55555555555556,1.5639592057651197,1.0,0.0
10,20,Lagrangian,Angulo,319.22068632973566,303.49666666666667,41.888888888888886,1.9817081978699678,0.18923491728521002,0.0
10,20,Laporte,Default,3611.127867248323,3299.882333333334,461.8888888888889,86.18851734461903,1.0,0.0
10,20,Laporte,Angulo,107.88512192832098,84.47055555555556,42.333333333333336,2.5484269094770373,0.08735690207041974,0.0
10,20,Benders,Default,29.580472071965534,13.340555555555554,42.77777777777778,2.552867667776123,0.0,0.0
10,20,Lagrangian,Comparison,1002.1142056518131,985.929777777778,40.0,1.5654015886573067,1.0,1.0
10,50,Lagrangian,Default,1933.7055827776592,1917.450111111111,40.44444444444444,1.15265189354729,1.0,0.0
10,50,Lagrangian,Angulo,856.9823575814565,839.6217777777778,48.0,1.9766695162829195,0.1641628072938251,0.0
10,50,Laporte,Default,3615.215067439609,3474.337555555556,288.0,87.4200829537671,1.0,0.0
10,50,Laporte,Angulo,138.42688547240363,120.60100000000001,31.77777777777778,2.583864546148954,0.05427559570684541,0.0
10,50,Benders,Default,35.95735168457031,21.27,33.888888888888886,2.5592776509461332,0.0,0.0
10,50,Lagrangian,Comparison,2012.3187552028232,1997.2740000000001,39.0,1.1546456051743585,1.0,1.0
15,3,Lagrangian,Default,89.96061001883612,76.20833333333333,27.11111111111111,2.6607805020017334,1.0,0.0
15,3,Lagrangian,Angulo,47.68765219052633,34.28088888888889,27.88888888888889,2.4033230225211386,0.1531810628185741,0.0
15,3,Laporte,Default,3604.970909357071,2419.8036666666667,755.1111111111111,94.81355189703854,1.0,0.0
15,3,Laporte,Angulo,37.40406115849813,18.153000000000002,27.88888888888889,2.6067713343831542,0.16218596465640292,0.0
15,3,Benders,Default,19.09335356288486,6.187777777777778,27.88888888888889,2.594905795814764,0.0,0.0
15,3,Lagrangian,Comparison,96.54169148868985,83.38344444444444,27.11111111111111,2.660077036011448,1.0,1.0
20,3,Lagrangian,Default,200.50107084380255,177.54033333333334,138.0,1.8024162827113746,1.0,0.0
20,3,Lagrangian,Angulo,186.27045800950793,162.9262222222222,138.0,1.804753595179074,0.27384243743292347,0.0
20,3,Laporte,Default,3609.8568904134963,2481.731666666667,701.7777777777778,99.66782571274189,1.0,0.0
20,3,Laporte,Angulo,104.23293423652649,71.99877777777778,138.0,1.8368276605218972,0.22377733968447922,0.0
20,3,Benders,Default,40.38993991745843,17.28222222222222,138.0,1.8408769053874252,0.0,0.0
20,3,Lagrangian,Comparison,256.77478591601056,231.26833333333332,138.0,1.797119806385456,1.0,1.0
