id,rep,stages,scens,duality_handler,forward_pass,backward_pass,sampling_scheme,fpass_type,mipgap,M,total_time,backward_pass_time,iterations,lower_bound,ci_low,ci_high,gap,std_cuts,nonstd_cuts,delta,type1_prob,type2_prob,lagrangian_dominant,integer_lshaped_dominant,incomparable,aggregation_timestamp
54,1,10,3,Lagrangian,DefaultMultiForwardPass,Comparison,InSampleMonteCarloMultiple,1,0.0001,2,42.73351788520813,34.683,17,23812.78533078502,23841.0207901563,24030.78604968754,0.907172651164087,209,0,0.01,1.28,1.28,0,0,209,2025-11-11T12:46:59.318
56,1,10,5,Lagrangian,DefaultMultiForwardPass,Comparison,InSampleMonteCarloMultiple,1,0.0001,2,47.19891285896301,39.491,14,26347.115314102695,26399.144451357915,26621.495987700004,1.03067338411065,187,0,0.01,1.28,1.28,0,0,187,2025-11-11T12:46:59.318
57,1,10,7,Lagrangian,DefaultMultiForwardPass,Comparison,InSampleMonteCarloMultiple,1,0.0001,2,175.97702312469482,165.103,37,25005.58923149504,24726.811301871243,25044.24614532718,0.15435447171306435,457,0,0.01,1.28,1.28,0,0,457,2025-11-11T12:46:59.318
58,1,11,3,Lagrangian,DefaultMultiForwardPass,Comparison,InSampleMonteCarloMultiple,1,0.0001,2,82.78890991210938,71.016,28,31442.48417512222,31289.484723237834,31538.188780770102,0.30345625207950216,319,0,0.01,1.28,1.28,0,0,319,2025-11-11T12:46:59.318
59,1,12,3,Lagrangian,DefaultMultiForwardPass,Comparison,InSampleMonteCarloMultiple,1,0.0001,2,72.15227007865906,61.041,20,36478.951871523765,36037.232074725085,36658.40804278562,0.48953618240159624,277,0,0.01,1.28,1.28,0,0,277,2025-11-11T12:46:59.318
